"","Cl","NO3","SO4","Na","K","Mg","Ca","DON","DOC"
"Min.","0.0496915214645393","0.0278794615240246","0.307131148299993","0.392432052446682","-9999","0.826010906854215","0.811736082211266","0.635036629684637","0.794309861128878"
"1st Qu.","0.50720737734256","0.802527713174436","0.80020580488603","0.6456212108041","0.435106953897609","0.918121367767441","0.868653354447821","0.850002053660365","0.941083232236626"
"Median","0.744439683695753","0.897250472148071","0.862050643906739","0.779265105331748","0.701513411650785","0.952712958461806","0.959322573640656","0.947918776212424","0.969653303865607"
"Mean","0.697942936545573","0.815135621637806","0.825787932918252","0.746446340377269","-666.021008483163","0.940368226364013","0.924132164000413","0.902273267501785","0.951250424428401"
"3rd Qu.","0.963610239429509","0.970568452156753","0.938415083292505","0.873755086455035","0.784572936464544","0.981994421332139","0.980542979002149","0.974368345562469","0.987881618465091"
"Max.","0.994440539725635","0.984694571345016","0.994251438178015","0.9518548168373","0.93876121021817","1","0.999633518432183","0.993419503290815","0.999846661892693"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
