"","Cl","NO3","SO4","Na","K","Mg","Ca","DON","DOC"
"Min.","-20.0321907892766","-5.61284607227904","-0.440791383866638","-0.916940903843124","-0.619108426530553","0.824580266155133","0.793308511830539","0.608131197746029","0.768311603138831"
"1st Qu.","0.206438031744851","0.706601604173073","0.698192504120392","0.453199730157682","0.231281632718858","0.892228242370882","0.852160532990994","0.80111957359107","0.925337992721942"
"Median","0.633476729563262","0.865055167484967","0.812031175469506","0.687048280158247","0.48671614069772","0.930136765951221","0.935163488196166","0.925070753789859","0.95637535548871"
"Mean","-0.828315130661042","0.356061838619545","0.679943479003149","0.539924941079857","0.365480040774024","0.924176554278664","0.910052431403147","0.872937213705545","0.933195454952642"
"3rd Qu.","0.682625101320935","0.932735930059978","0.862541089344514","0.83594416772747","0.579590086594213","0.965830042832794","0.97132345344737","0.97093165014622","0.972995849199335"
"Max.","0.954300828883154","0.966259631475384","0.992938659701923","0.940345157299274","0.713278923366428","0.996576047521367","0.984759814919772","0.989561018051914","0.99864799989247"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
