"","Cl","NO3","SO4","Na","K","Mg","Ca","DON","DOC"
"Min.","-270.243863057497","-0.497923352220708","-53.4373624046167","-575.574757384343","-12.0723919815123","-298.007986139594","-21.1142455583521","-21.0184491659312","0.11434844008748"
"1st Qu.","-268.818256499219","-0.484183097621029","-51.9179237345513","-568.250233640719","-11.8666085796","-288.538062291901","-20.6962430249254","-20.200717857712","0.140828467337116"
"Median","-266.938055628499","-0.480297605091359","-50.0930008280255","-565.06968594551","-11.6915771407705","-285.845468613407","-20.3595924336384","-19.9299888039054","0.155783655991631"
"Mean","-266.988456296207","-0.477730192240533","-50.5603702851929","-566.089021209104","-11.6810580265293","-286.835271522247","-20.4453368367599","-19.8611454431679","0.151100926857008"
"3rd Qu.","-265.732201468725","-0.469827529118638","-49.7142282755311","-563.4823344835","-11.5154844662576","-284.043279284122","-20.2251044353007","-19.4776422187699","0.162492375214671"
"Max.","-263.313199001536","-0.45698745748674","-46.4635114636341","-559.664771329388","-11.2061828547029","-280.120858331732","-19.9066923947473","-18.4805128614962","0.183503059481784"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
