"","Cl","NO3","SO4","Na","K","Mg","Ca","DON","DOC"
"Min.","0.0548456875661597","0.858266379153736","0.464811909179989","0.142152030035785","0.00504451433803","0.105833744687477","0.0995245445901849","0.775894411186006","0.943722921664757"
"1st Qu.","0.0664778521107759","0.86082569179202","0.506517205874915","0.153044018621796","0.0165225844143612","0.139943849559926","0.136368217257415","0.78997391742376","0.947039082446364"
"Median","0.0729670679499063","0.86563708743703","0.551104745047509","0.161885752607445","0.0207820825527297","0.157926404742917","0.159003984199564","0.799191559074977","0.949125215177691"
"Mean","0.0721832058391203","0.864421471047029","0.535739411220131","0.162045947624273","0.0208498221818909","0.157705912609388","0.154709023489911","0.797865200622002","0.950068623970959"
"3rd Qu.","0.0781251771627538","0.866702476779345","0.566389416347061","0.169820800892059","0.0231742051515982","0.171427776442118","0.177303878235172","0.806707935081605","0.953288526512636"
"Max.","0.0832429207057774","0.868425324861649","0.583314206463459","0.192722446413711","0.0382409721025497","0.213250293228086","0.216256488337825","0.81356783360188","0.959672189125252"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
