"","Cl","NO3","SO4","Na","K","Mg","Ca","DON","DOC"
"Min.","-10.8675115350443","0.840573210439933","-17.6737232364143","-19.5388933649595","-1.52242563900994","-33.7428343622074","-1.481495219701","0.445028642847006","0.846626803941088"
"1st Qu.","-10.2913828162225","0.843257776987997","-17.2432773144631","-17.8792689504494","-1.42447845637141","-32.3173716543049","-1.33675083953765","0.486536690052639","0.862276291458857"
"Median","-9.68600082683179","0.847618505819585","-16.9983661508019","-16.7060136697086","-1.4025770289191","-31.0136985182422","-1.21926168695041","0.502394836952007","0.866673029835023"
"Mean","-9.59809914885483","0.846104270413302","-17.0146387521497","-17.1579357011755","-1.39965724742658","-30.9965444170997","-1.23787779197819","0.502930460553665","0.866429453196249"
"3rd Qu.","-8.97175493948621","0.848589307878337","-16.9110994814189","-16.105806902798","-1.35191698933206","-29.8198953545059","-1.10891907670655","0.529182757124087","0.872440138213326"
"Max.","-7.8169933500357","0.850500152428485","-16.0976254871194","-15.8693140393659","-1.27684200919432","-27.549403254052","-1.07238444662831","0.54101291034954","0.879431254781069"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
