"","Cl","NO3","SO4","Na","K","Mg","Ca","DON","DOC"
"Min.","-9999","0.809936135341864","0.0304405180625945","-9999","0.207578947971157","0.332122215938732","1.43738287340287e-08","5.97733299354843e-06","0.951432901023586"
"1st Qu.","-9999","0.813536052189039","0.0408933446590506","-9999","0.236065523529891","0.389097117995972","0.000145091604835691","0.000103988422945725","0.953252640503645"
"Median","-9999","0.815660738699092","0.0462283016353268","-9999","0.254617861388279","0.418081609304131","0.00039322144741731","0.000542849905073362","0.956277022559354"
"Mean","-9999","0.815695791576672","0.0455848043879754","-9999","0.249205210357254","0.406758456965733","0.000783103196996742","0.00221596781809763","0.955663341393791"
"3rd Qu.","-9999","0.818861720703736","0.049156259631859","-9999","0.26475894258247","0.425826832171766","0.00129885800502043","0.00327655266070621","0.957586650010355"
"Max.","-9999","0.820328643885482","0.064551522576574","-9999","0.279263025192198","0.448792097633658","0.00334056033329593","0.00881687511385686","0.960290875293672"
"type","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric","numeric"
